,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
127,Cherskiy,68.75,161.3,60.85,24,4,9.98,RU,2022-06-15 23:06:09,clear sky
128,Hobart,-42.8794,147.3294,46.06,96,75,4.61,AU,2022-06-15 23:06:25,broken clouds
129,Mehamn,71.0357,27.8492,40.91,89,100,13.58,NO,2022-06-15 23:06:25,overcast clouds
130,Castro,-24.7911,-50.0119,52.92,88,37,2.73,BR,2022-06-15 23:02:14,scattered clouds
131,Vao,-22.6667,167.4833,73.65,83,100,21.88,NC,2022-06-15 23:06:25,overcast clouds
132,Khatanga,71.9667,102.5,59.29,42,99,10.02,RU,2022-06-15 23:01:26,overcast clouds
133,Krasnoselkup,65.7,82.4667,61.68,82,100,4.9,RU,2022-06-15 23:06:26,light rain
134,Namikupa,-10.8333,39.6,64.45,99,3,0.81,TZ,2022-06-15 23:06:26,clear sky
135,Kulhudhuffushi,6.6221,73.07,82.74,75,100,11.52,MV,2022-06-15 23:06:26,overcast clouds
136,Levelland,33.5873,-102.378,97.2,20,51,19.08,US,2022-06-15 23:06:27,broken clouds
137,Kanniyakumari,8.0833,77.5667,80.29,79,100,15.1,IN,2022-06-15 23:06:27,overcast clouds
138,Nishihara,26.1842,127.7558,76.28,94,100,19.57,JP,2022-06-15 23:07:28,heavy intensity rain
139,Mount Gambier,-37.8333,140.7667,53.51,94,100,6.91,AU,2022-06-15 23:07:28,overcast clouds
140,Lima,-12.0432,-77.0282,62.38,79,0,13.8,PE,2022-06-15 23:07:10,clear sky
141,Richards Bay,-28.783,32.0377,58.51,62,79,12.12,ZA,2022-06-15 23:05:08,broken clouds
142,Esik,43.3552,77.4525,56.62,56,100,4.32,KZ,2022-06-15 23:07:28,overcast clouds
143,Lazaro Cardenas,17.9583,-102.2,82.0,74,100,3.69,MX,2022-06-15 23:07:29,overcast clouds
144,Fukue,32.6881,128.8419,72.59,88,73,9.22,JP,2022-06-15 23:07:29,broken clouds
145,Svetlaya,46.5389,138.3297,57.0,77,90,7.45,RU,2022-06-15 23:07:29,overcast clouds
146,Bluff,-46.6,168.3333,47.8,79,49,24.32,NZ,2022-06-15 23:07:30,scattered clouds
147,Araxa,-19.5933,-46.9406,61.57,62,6,4.76,BR,2022-06-15 23:07:30,clear sky
148,Sitka,57.0531,-135.33,64.29,52,0,13.8,US,2022-06-15 23:07:10,clear sky
149,Zheleznodorozhnyy,55.7503,38.0042,56.75,79,6,8.72,RU,2022-06-15 23:07:31,clear sky
150,Lebu,-37.6167,-73.65,50.94,87,87,6.69,CL,2022-06-15 23:02:40,overcast clouds
151,Oranjestad,12.524,-70.027,80.04,87,100,29.04,AW,2022-06-15 23:07:31,overcast clouds
152,Aklavik,68.2191,-135.0107,63.48,34,3,7.27,CA,2022-06-15 23:07:31,clear sky
153,Goderich,43.7501,-81.7165,70.61,86,79,11.52,CA,2022-06-15 23:07:32,broken clouds
154,San Patricio,28.017,-97.5169,92.16,52,77,19.64,US,2022-06-15 23:07:32,broken clouds
155,Carnarvon,-24.8667,113.6333,70.16,89,100,2.3,AU,2022-06-15 23:07:32,overcast clouds
156,Komsomolskiy,40.4272,71.7189,69.73,62,98,4.9,UZ,2022-06-15 23:07:33,overcast clouds
157,Ugoofaaru,5.6667,73.0,83.12,75,95,12.15,MV,2022-06-15 23:07:33,overcast clouds
158,Upernavik,72.7868,-56.1549,32.49,70,100,7.18,GL,2022-06-15 23:07:33,overcast clouds
159,Parfino,57.9731,31.6481,54.25,79,92,9.28,RU,2022-06-15 23:07:34,overcast clouds
160,Morondava,-20.2833,44.2833,68.59,87,0,4.72,MG,2022-06-15 23:07:34,clear sky
161,Barrow,71.2906,-156.7887,39.22,87,100,10.36,US,2022-06-15 23:07:34,overcast clouds
162,Vila Franca Do Campo,37.7167,-25.4333,66.2,90,46,7.72,PT,2022-06-15 23:07:35,scattered clouds
163,Porosozero,62.7191,32.727,51.53,97,69,2.3,RU,2022-06-15 23:07:35,broken clouds
164,Camana,-16.6228,-72.7111,61.59,82,74,5.35,PE,2022-06-15 23:07:36,broken clouds
165,Kavaratti,10.5669,72.642,82.9,77,100,16.82,IN,2022-06-15 23:03:10,heavy intensity rain
166,Codrington,-38.2667,141.9667,55.63,90,60,13.98,AU,2022-06-15 23:07:36,broken clouds
